iter	Passed	Remaining
143	929	5524
144	934	5511
145	940	5501
146	946	5492
147	952	5486
148	959	5478
149	964	5468
150	970	5457
151	975	5442
152	980	5430
153	986	5416
154	990	5401
155	995	5386
156	1002	5382
157	1007	5370
158	1012	5356
159	1017	5340
160	1022	5326
161	1026	5312
162	1037	5325
163	1042	5314
164	1047	5303
165	1053	5290
166	1058	5281
167	1065	5274
168	1071	5267
169	1078	5263
170	1084	5255
171	1090	5247
172	1096	5243
173	1103	5237
174	1109	5230
175	1115	5224
176	1122	5219
177	1128	5211
178	1136	5210
179	1142	5206
180	1149	5200
181	1156	5196
182	1161	5186
183	1167	5176
184	1172	5164
185	1177	5151
186	1182	5139
187	1187	5127
188	1192	5118
189	1198	5109
190	1203	5099
191	1210	5093
192	1215	5083
193	1221	5073
194	1227	5067
195	1233	5058
196	1239	5051
197	1244	5040
198	1249	5030
199	1258	5032
200	1263	5021
201	1268	5009
202	1273	4999
203	1278	4987
204	1283	4978
205	1286	4959
206	1292	4949
207	1298	4943
208	1303	4934
209	1309	4926
210	1314	4916
211	1319	4906
212	1324	4894
213	1330	4885
214	1334	4873
215	1339	4861
216	1344	4851
217	1349	4841
218	1354	4829
219	1358	4818
220	1363	4807
221	1368	4795
222	1373	4785
223	1378	4775
224	1383	4765
225	1388	4755
226	1393	4746
227	1398	4734
228	1402	4723
229	1407	4711
230	1412	4701
231	1417	4691
232	1421	4680
233	1426	4669
234	1431	4660
235	1437	4652
236	1442	4642
237	1447	4633
238	1451	4623
239	1456	4612
240	1461	4602
241	1465	4591
242	1470	4581
243	1475	4573
244	1480	4563
245	1485	4552
246	1489	4541
247	1495	4533
248	1499	4523
249	1504	4513
250	1509	4503
251	1513	4492
252	1518	4484
253	1524	4476
254	1528	4467
255	1533	4457
256	1539	4450
257	1544	4442
258	1549	4434
259	1556	4428
260	1561	4421
261	1567	4415
262	1573	4410
263	1579	4404
264	1586	4401
265	1593	4395
266	1600	4394
267	1606	4389
268	1613	4384
269	1619	4378
270	1625	4373
271	1631	4367
272	1637	4359
273	1643	4354
274	1648	4346
275	1654	4339
276	1659	4331
277	1665	4324
278	1670	4316
279	1675	4307
280	1680	4298
281	1685	4291
282	1703	4316
283	1708	4307
284	1712	4297
285	1719	4291
286	1724	4285
287	1730	4277
288	1735	4270
289	1740	4262
290	1746	4256
291	1752	4248
292	1757	4241
293	1763	4234
294	1769	4227
295	1773	4218
296	1778	4210
297	1784	4202
298	1789	4195
299	1794	4187
300	1800	4180
301	1806	4174
302	1811	4166
303	1816	4159
304	1823	4154
305	1828	4146
306	1833	4138
307	1840	4135
308	1846	4128
309	1853	4125
310	1859	4120
311	1866	4115
312	1873	4112
313	1881	4109
314	1888	4105
315	1897	4107
316	1903	4101
317	1910	4096
318	1916	4090
319	1922	4085
320	2192	4637
321	2200	4633
322	2211	4634
323	2218	4628
324	2226	4624
325	2232	4615
326	2241	4613
327	2249	4608
328	2256	4601
329	2262	4592
330	2269	4587
331	2276	4580
332	2283	4574
333	2289	4566
334	2296	4558
335	2303	4551
336	2309	4542
337	2315	4534
338	2320	4525
339	2326	4516
340	2334	4511
341	2342	4506
342	2351	4504
343	2357	4496
344	2366	4493
345	2376	4491
346	2383	4485
347	2389	4476
348	2395	4468
349	2401	4460
350	2408	4453
351	2414	4444
352	2420	4437
353	2426	4428
354	2432	4419
355	2438	4410
356	2443	4401
357	2448	4391
358	2454	4382
359	2460	4373
360	2467	4367
361	2473	4359
362	2479	4351
363	2486	4345
364	2493	4338
365	2500	4330
366	2506	4322
367	2512	4314
368	2518	4306
369	2524	4297
370	2528	4287
371	2534	4278
372	2539	4269
373	2546	4262
374	2552	4253
375	2560	4249
376	2566	4241
377	2577	4241
378	2582	4231
379	2588	4223
380	2594	4214
381	2599	4206
382	2606	4199
383	2611	4189
384	2619	4183
385	2624	4175
386	2631	4167
387	2637	4159
388	2642	4150
389	2648	4141
390	2653	4133
391	2660	4126
392	2665	4117
393	2671	4109
394	2677	4100
395	2682	4091
396	2688	4083
397	2694	4074
398	2699	4066
399	2705	4058
400	2711	4050
401	2717	4042
402	2722	4032
403	2727	4023
404	2732	4014
405	2738	4007
406	2744	3998
407	2751	3992
408	2757	3984
409	2762	3975
410	2769	3968
411	2774	3960
412	2780	3952
413	2786	3944
414	2791	3934
415	2797	3927
416	2803	3919
417	2808	3909
418	2813	3901
419	2819	3893
420	2824	3884
421	2830	3877
422	2837	3869
423	2844	3864
424	2850	3855
425	2856	3848
426	2862	3840
427	2867	3832
428	2877	3830
429	2883	3822
430	2889	3814
431	2894	3806
432	2900	3797
433	2905	3789
434	2910	3780
435	2916	3772
436	2921	3764
437	2927	3755
438	2932	3747
439	2938	3739
440	2943	3730
441	2948	3722
442	2954	3714
443	2959	3706
444	2964	3697
445	2970	3689
446	2975	3681
447	2980	3672
448	2985	3664
449	2991	3656
450	2996	3647
451	3001	3639
452	3006	3630
453	3011	3622
454	3016	3613
455	3021	3604
456	3026	3595
457	3030	3586
458	3036	3578
459	3041	3569
460	3045	3561
461	3051	3553
462	3056	3545
463	3061	3536
464	3067	3529
465	3072	3520
466	3078	3513
467	3083	3505
468	3088	3496
469	3093	3488
470	3099	3481
471	3105	3473
472	3111	3466
473	3116	3458
474	3121	3450
475	3127	3442
476	3132	3434
477	3138	3427
478	3144	3419
479	3149	3411
480	3154	3404
481	3159	3395
482	3165	3388
483	3171	3380
484	3176	3372
485	3181	3365
486	3187	3357
487	3192	3349
488	3199	3342
489	3210	3341
490	3217	3334
491	3224	3329
492	3231	3323
493	3237	3316
494	3245	3311
495	3252	3304
496	3258	3297
497	3263	3290
498	3269	3282
499	3275	3275
500	3281	3268
501	3287	3261
502	3294	3254
503	3299	3247
504	3306	3240
505	3311	3233
506	3318	3226
507	3323	3219
508	3328	3210
509	3334	3203
510	3340	3196
511	3345	3188
512	3350	3180
513	3355	3173
514	3361	3165
515	3367	3158
516	3373	3151
517	3378	3144
518	3384	3136
519	3389	3128
520	3396	3122
521	3401	3114
522	3407	3107
523	3412	3100
524	3418	3093
525	3424	3085
526	3429	3078
527	3434	3070
528	3439	3062
529	3444	3054
530	3449	3047
531	3456	3040
532	3461	3033
533	3467	3026
534	3473	3018
535	3478	3011
536	3486	3005
537	3493	3000
538	3501	2995
539	3508	2988
540	3515	2982
541	3522	2976
542	3529	2970
543	3536	2964
544	3543	2958
545	3551	2952
546	3558	2946
547	3564	2940
548	3571	2934
549	3578	2928
550	3585	2921
551	3593	2916
552	3600	2910
553	3606	2903
554	3612	2896
555	3618	2889
556	3623	2882
557	3629	2874
558	3635	2867
559	3641	2861
560	3648	2855
561	3655	2848
562	3661	2841
563	3667	2835
564	3673	2828
565	3679	2821
566	3684	2814
567	3690	2807
568	3697	2800
569	3703	2794
570	3709	2786
571	3714	2779
572	3720	2772
573	3726	2765
574	3732	2758
575	3737	2750
576	3742	2743
577	3747	2736
578	3753	2729
579	3758	2721
580	3762	2713
581	3768	2706
582	3773	2699
583	3779	2691
584	3785	2685
585	3790	2678
586	3796	2670
587	3801	2663
588	3807	2657
589	3813	2649
590	3819	2643
591	3824	2636
592	3830	2628
593	3835	2621
594	3840	2613
595	3845	2606
596	3850	2599
597	3856	2592
598	3860	2584
599	3865	2577
600	3870	2569
601	3875	2562
602	3879	2554
603	3884	2546
604	3889	2539
605	3893	2531
606	3898	2524
607	3903	2516
608	3908	2509
609	3913	2501
610	3918	2494
611	3922	2487
612	3927	2479
613	3931	2471
614	3937	2464
615	3941	2457
616	3946	2449
617	3950	2442
618	3955	2434
619	3960	2427
620	3964	2419
621	3969	2412
622	3973	2404
623	3978	2397
624	3983	2390
625	3987	2382
626	3992	2375
627	3996	2367
628	4001	2359
629	4005	2352
630	4010	2345
631	4014	2337
632	4019	2330
633	4025	2323
634	4030	2316
635	4035	2309
636	4041	2302
637	4048	2297
638	4055	2290
639	4060	2284
640	4065	2277
641	4071	2270
642	4076	2263
643	4082	2256
644	4088	2250
645	4094	2243
646	4103	2238
647	4110	2232
648	4117	2226
649	4123	2220
650	4130	2214
651	4137	2208
652	4144	2202
653	4153	2197
654	4160	2191
655	4168	2185
656	4175	2179
657	4182	2173
658	4189	2167
659	4197	2162
660	4206	2157
661	4213	2151
662	4220	2145
663	4226	2138
664	4233	2132
665	4240	2126
666	4246	2120
667	4254	2114
668	4261	2108
669	4268	2102
670	4275	2096
671	4283	2090
672	4289	2084
673	4295	2077
674	4300	2070
675	4307	2064
676	4314	2058
677	4320	2052
678	4328	2046
679	4336	2040
680	4342	2034
681	4348	2027
682	4353	2020
683	4359	2014
684	4366	2007
685	4371	2001
686	4376	1993
687	4381	1987
688	4387	1980
689	4393	1973
690	4399	1967
691	4404	1960
692	4409	1953
693	4415	1946
694	4420	1939
695	4425	1932
696	4430	1926
697	4436	1919
698	4442	1912
699	4449	1906
700	4454	1899
701	4460	1893
702	4466	1886
703	4471	1880
704	4477	1873
705	4482	1866
706	4488	1860
707	4493	1853
708	4498	1846
709	4504	1839
710	4510	1833
711	4516	1826
712	4522	1820
713	4528	1814
714	4535	1807
715	4541	1801
716	4546	1794
717	4551	1787
718	4557	1781
719	4563	1774
720	4569	1768
721	4575	1761
722	4581	1755
723	4587	1748
724	4593	1742
725	4599	1735
726	4604	1729
727	4610	1722
728	4616	1716
729	4621	1709
730	4628	1703
731	4634	1696
732	4640	1690
733	4646	1683
734	4651	1677
735	4657	1670
736	4662	1663
737	4668	1657
738	4674	1650
739	4679	1644
740	4684	1637
741	4689	1630
742	4694	1623
743	4700	1617
744	4705	1610
745	4710	1603
746	4716	1597
747	4722	1590
748	4727	1584
749	4732	1577
750	4738	1570
751	4743	1564
752	4749	1557
753	4754	1551
754	4760	1544
755	4765	1537
756	4770	1531
757	4776	1524
758	4781	1518
759	4787	1511
760	4793	1505
761	4799	1499
762	4806	1492
763	4812	1486
764	4819	1480
765	4825	1474
766	4831	1467
767	4839	1461
768	4845	1455
769	4852	1449
770	4859	1443
771	4865	1437
772	4872	1430
773	4879	1424
774	4887	1418
775	4894	1412
776	4900	1406
777	4907	1400
778	4913	1394
779	4919	1387
780	4926	1381
781	4931	1374
782	4939	1368
783	4945	1362
784	4952	1356
785	4958	1350
786	4965	1343
787	4972	1337
788	4979	1331
789	4986	1325
790	4993	1319
791	4999	1313
792	5005	1306
793	5011	1300
794	5017	1293
795	5023	1287
796	5028	1280
797	5034	1274
798	5040	1268
799	5046	1261
800	5052	1255
801	5058	1248
802	5064	1242
803	5069	1235
804	5074	1229
805	5080	1222
806	5086	1216
807	5092	1209
808	5097	1203
809	5103	1197
810	5109	1190
811	5116	1184
812	5121	1177
813	5126	1171
814	5132	1165
815	5137	1158
816	5143	1152
817	5149	1145
818	5154	1139
819	5160	1132
820	5166	1126
821	5172	1120
822	5179	1113
823	5184	1107
824	5191	1101
825	5196	1094
826	5202	1088
827	5208	1081
828	5213	1075
829	5220	1069
830	5226	1062
831	5232	1056
832	5238	1050
833	5244	1043
834	5250	1037
835	5256	1031
836	5261	1024
837	5267	1018
838	5273	1011
839	5279	1005
840	5285	999
841	5290	992
842	5295	986
843	5301	979
844	5308	973
845	5315	967
846	5322	961
847	5329	955
848	5337	949
849	5344	943
850	5351	937
851	5358	930
852	5365	924
853	5372	918
854	5379	912
855	5386	906
856	5393	899
857	5400	893
858	5407	887
859	5413	881
860	5420	875
861	5426	868
862	5433	862
863	5441	856
864	5447	850
865	5454	843
866	5461	837
867	5466	831
868	5472	825
869	5479	818
870	5484	812
871	5490	805
872	5496	799
873	5501	793
874	5507	786
875	5513	780
876	5519	774
877	5525	767
878	5532	761
879	5538	755
880	5543	748
881	5550	742
882	5556	736
883	5563	730
884	5568	723
885	5574	717
886	5580	710
887	5585	704
888	5590	698
889	5596	691
890	5602	685
891	5607	678
892	5613	672
893	5619	666
894	5625	660
895	5631	653
896	5636	647
897	5642	640
898	5647	634
899	5653	628
900	5659	621
901	5664	615
902	5669	609
903	5675	602
904	5680	596
905	5686	589
906	5691	583
907	5697	577
908	5702	570
909	5708	564
910	5714	558
911	5718	551
912	5723	545
913	5728	539
914	5733	532
915	5738	526
916	5743	519
917	5748	513
918	5753	507
919	5758	500
920	5763	494
921	5768	488
922	5773	481
923	5778	475
924	5782	468
925	5787	462
926	5792	456
927	5797	449
928	5802	443
929	5807	437
930	5811	430
931	5816	424
932	5821	418
933	5826	411
934	5830	405
935	5835	398
936	5839	392
937	5843	386
938	5847	379
939	5850	373
940	5854	367
941	5859	360
942	5863	354
943	5868	348
944	5872	341
945	5877	335
946	5881	329
947	5885	322
948	5890	316
949	5894	310
950	5899	303
951	5903	297
952	5907	291
953	5912	285
954	5917	278
955	5921	272
956	5925	266
957	5929	259
958	5933	253
959	5938	247
960	5943	241
961	5947	234
962	5951	228
963	5956	222
964	5960	216
965	5964	209
966	5969	203
967	5974	197
968	5978	191
969	5982	185
970	5986	178
971	5991	172
972	5996	166
973	6000	160
974	6005	153
975	6010	147
976	6014	141
977	6020	135
978	6025	129
979	6030	123
980	6035	116
981	6039	110
982	6044	104
983	6048	98
984	6052	92
985	6056	85
986	6060	79
987	6064	73
988	6068	67
989	6072	61
990	6076	55
991	6081	49
992	6085	42
993	6089	36
994	6094	30
995	6099	24
996	6103	18
997	6107	12
998	6112	6
999	6116	0
